FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_300spots_bg_200_2_I_300_0_img1.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_300spots_bg_200_2_I_300_0_img1__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
300	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
1570.96	25400.3	5011.93	12.6868	199.671	1337.59	429.72	429.72	646.059	600.59	598.516	902.074	670.962	500.341	1111.93	10	6	86	17	4	8	84	88	14	20	216	4.14211	1.19894	0.649331	1	1	-1
1670.41	63993.2	5382.79	11.8882	200.078	1176.55	442.264	442.264	543.741	598.794	600.658	903.375	470.408	693.182	1182.79	11	7	214	18	5	9	212	216	15	21	220	3.76716	1.01106	0.547576	1	1	-1
2286.08	29361.4	6486.41	12.4309	199.454	1120.43	492	492	624.547	602.189	599.613	898.535	786.075	561.437	786.41	13	8	99	23	6	10	97	101	20	26	214	3.56822	1.14142	0.618177	1	1	-1
2071.83	50337.5	2059.01	12.78	200.394	1237.7	446.024	446.024	479.474	599.84	602.141	903.599	571.825	837.498	1159.01	12	8	168	7	6	10	166	170	4	10	215	4.21143	1.08868	0.589615	1	1	-1
2086.57	66104.7	1923.55	12.692	199.383	1682.09	445.441	445.441	695.164	599.671	597.614	897.522	586.57	404.732	723.547	12	8	222	8	6	10	220	224	5	11	219	4.73633	1.27395	0.689951	1	1	-1
3637.86	5247.58	1903.92	13.2587	200.047	1249.11	413.622	413.622	632.923	600.53	597.921	897.912	637.864	447.582	703.916	12	13	19	8	11	15	17	21	5	11	215	5.01614	1.29671	0.702279	1	1	-1
3616.72	16302.8	1678.32	11.5744	200.02	1013.99	482.317	482.317	561.511	599.84	597.903	898.779	616.718	402.843	778.315	13	13	56	7	11	15	54	58	4	10	217	3.22487	0.993309	0.537963	1	1	-1
3747.83	48604.5	2610.35	12.3883	200.518	1484.31	492	492	641.565	601.31	596.869	895.542	747.828	304.544	510.347	14	13	164	11	11	15	162	166	8	14	218	3.73946	1.10471	0.598293	1	1	-1
3512.4	70950	3785.47	12.2721	200.51	1425.07	403.432	403.432	542.172	599.183	598.247	898.348	512.403	450.011	785.466	13	13	238	14	11	15	236	240	11	17	214	4.72364	1.23847	0.670737	1	1	-1
3661.97	15494.6	6292.23	10.2459	200.625	1305.66	444.055	444.055	556.377	597.909	598.997	900.067	361.975	494.606	892.235	15	14	53	22	12	16	51	55	19	25	216	3.37377	0.94622	0.51246	1	1	-1
