FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 25-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_2_I_300_0_img0.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_2_I_300_0_img0__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
300	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
8218.97	36539.7	1816.57	7.65704	201.496	1186.01	462.095	462.095	322.156	600.684	599.29	899.316	718.966	539.706	916.572	15	28	123	7	26	30	121	125	4	10	217	5	1.08847	0.908113	1	1	-1
71330.9	51221.5	1663.59	8.56316	200.951	1224.38	433.811	433.811	469.984	599.671	599.299	900.912	530.896	521.456	1063.59	9	239	172	6	237	241	170	174	3	9	211	5	1.14005	0.951145	1	1	-1
37099.8	21236.9	2320.97	5.40634	200.731	1237.52	492	492	600.604	599.408	599.856	899.882	499.794	536.899	820.965	39	125	72	9	123	127	70	74	6	12	210	4	0.897982	0.74919	1	1	-1
66098.3	43735	2322.48	6.52649	201.952	1361.04	492	492	162.317	600.643	600.872	899.069	698.334	834.97	822.483	15	221	146	9	219	223	144	148	6	12	212	3	0.84391	0.704078	1	1	-1
54655.7	33015.2	2882.28	6.225	200.824	1062.53	492	492	460.223	600.245	599.771	898.976	655.703	615.169	782.283	15	183	111	11	181	185	109	113	8	14	211	4	0.956629	0.79812	1	1	-1
25868.8	44103.1	2837.05	6.25617	200.895	1151.93	492	492	462.003	599.966	599.983	901.185	668.84	603.102	1037.05	14	87	148	10	85	89	146	150	7	13	214	4	0.907115	0.75681	1	1	-1
14853.4	23040.2	3079.36	9.34186	201.216	1056.7	418.412	418.412	339.825	600.6	599.586	901.733	753.376	540.187	979.358	11	50	78	11	48	52	76	80	8	14	214	5	1.12686	0.940146	1	1	-1
39710.8	45276.8	3266.98	7.17423	200.918	1321.18	492	492	456.387	600.541	600.169	899.442	710.837	576.819	866.979	19	133	152	12	131	135	150	154	9	15	212	5	1.06452	0.888133	1	1	-1
53367.5	48964.7	3225.71	7.87943	200.876	1390.58	492	492	436.11	600.862	600.558	899.29	867.503	664.733	825.705	13	178	164	12	176	180	162	166	9	15	211	4	1.04182	0.869194	1	1	-1
31167.6	50412.7	3435.28	6.75219	200.606	1270.34	492	492	562.285	599.67	600.034	898.208	567.641	612.714	735.284	15	105	169	13	103	107	167	171	10	16	212	4	0.985344	0.822077	1	1	-1
