FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_2_I_300_0_img2.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_2_I_300_0_img2__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
1902.06	1857.56	2229.77	27.7482	200.426	1338.28	160.052	160.052	546.152	319.866	319.003	897.729	302.058	257.557	729.768	8	13	13	9	11	15	11	15	6	12	229	9.75213	2.50327	0.852087	1	1	-1
3289.42	20022.6	2329.53	28.2809	200.367	1317.77	162.092	162.092	526.821	318.355	320.527	898.592	249.423	342.612	829.525	8	22	126	9	20	24	124	128	6	12	230	10.0195	2.51611	0.856458	1	1	-1
6042.72	37101.2	2598.46	30.6666	199.702	1416	163.16	163.16	519.197	319.19	319.655	898.59	282.723	301.186	798.458	7	39	233	10	37	41	231	235	7	13	229	11.1191	2.67977	0.912166	1	1	-1
6411.09	32560	7468.32	25.6929	198.895	1147.26	175.683	175.683	645.856	320.085	321.62	895.237	331.09	399.952	568.317	8	41	204	27	39	43	202	206	24	30	225	8.78953	2.54978	0.867918	1	1	-1
6628.89	12582.2	5684.16	22.7493	199.746	1330.16	172.694	172.694	647.798	318.427	319.108	899.941	228.893	262.212	884.158	7	43	80	20	41	45	78	82	17	23	219	7.48943	2.30662	0.785148	1	1	-1
9811.34	35825.5	6767.9	29.8249	199.851	1436.48	159.835	159.835	559.558	320.962	319.852	897.224	371.337	305.5	767.904	7	62	225	24	60	64	223	227	21	27	224	10.9762	2.79488	0.951348	1	1	-1
9969.18	17278.8	5347.68	31.6296	200.601	1483.31	147.328	147.328	529.545	320.974	319.964	898.341	369.178	318.843	847.681	6	63	109	19	61	65	107	111	16	22	232	11.546	2.70991	0.922425	1	1	-1
10219.9	10669.3	3703.64	24.3689	200.004	1823.74	164.164	164.164	647.087	319.897	319.239	900.898	299.916	269.254	1003.64	7	65	68	13	63	67	66	70	10	16	222	9.24693	2.4265	0.825955	1	1	-1
12021.5	37469.8	2751.61	26.6262	199.317	1580.46	173.161	173.161	640.608	320.43	320.729	896.233	341.544	349.777	651.608	7	76	235	11	74	78	233	237	8	14	226	9.99071	2.64094	0.898947	1	1	-1
13580.4	34827	6292.18	27.1995	200.349	1101.07	155.529	155.529	556.776	319.566	319.083	899.765	300.44	266.992	892.177	6	86	219	22	84	88	217	221	19	25	224	9.8626	2.38972	0.813434	1	1	-1
