FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 25-Sep-2021 
COMMENT	
IMG_Raw	Poiss_30spots_bg_200_4_I_300_0_img0.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_30spots_bg_200_4_I_300_0_img0__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
300	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
40967.8	44371.6	1521.35	12.901	199.699	2720.06	433.733	433.733	607.883	598.786	600.059	900.464	467.806	571.607	921.354	10	138	149	6	136	140	147	151	3	9	219	6	1.55687	0.874482	1	1	-1
25946.7	63068	1615.89	12.8986	198.976	2944.75	442.627	442.627	744.578	601.772	600.835	902.05	746.651	667.983	1015.89	13	87	211	6	85	89	209	213	3	9	218	6	1.60598	0.902068	1	1	-1
4441.77	74239.4	1667.03	12.217	200.486	3205.52	404.125	404.125	452.289	598.911	598.252	900.701	541.769	439.44	1067.03	18	16	249	6	14	18	247	251	3	9	217	5	1.46683	0.823908	1	1	-1
58655.8	8441.31	1878.86	9.78724	201.684	3002.15	393.531	393.531	507.076	599.285	599.882	900.37	455.823	641.309	978.858	12	197	29	7	195	199	27	31	4	10	215	6	1.33644	0.750669	1	1	-1
52935.3	59255.1	2288.32	11.0571	200.053	3511.68	492	492	585.592	598.577	601.305	899.385	435.321	755.071	788.321	12	178	198	9	176	180	196	200	6	12	216	6	1.46717	0.824096	1	1	-1
3482.71	69025.5	2247.71	12.2146	200.118	4132.47	468.586	468.586	544.953	599.36	600.589	901.852	482.706	625.538	1047.71	14	13	231	8	11	15	229	233	5	11	220	6	1.56784	0.880645	1	1	-1
50012.8	17346.9	3098.7	12.6323	201.306	3870.21	341.591	341.591	500.208	598.863	598.829	901.205	512.809	546.876	998.704	13	168	59	11	166	170	57	61	8	14	217	7	1.52322	0.855581	1	1	-1
35039.5	49229.6	2975.68	13.8762	199.241	3203.46	447.615	447.615	637.19	599.006	600.387	899.015	539.519	629.637	875.681	10	118	165	11	116	120	163	167	8	14	215	7	1.57345	0.883792	1	1	-1
55116.9	58290.4	2558.54	14.8766	201.232	3851.89	369.101	369.101	314.543	599.131	600.38	899.426	516.917	690.392	758.536	15	185	195	10	183	187	193	197	7	13	221	6	1.4762	0.829173	1	1	-1
11590.5	1568.38	3114.4	13.0669	198.495	2681.73	473.691	473.691	731.042	598.827	600.616	898.109	490.509	668.383	714.401	13	40	6	12	38	42	4	8	9	15	219	6	1.57311	0.883605	1	1	-1
35547.4	16627	3499.76	14.8212	197.946	3458.02	492	492	805.579	601.886	601.835	898.072	747.396	726.966	799.758	14	119	56	13	117	121	54	58	10	16	220	7	1.74918	0.982502	1	1	-1
20953.6	35712.9	3352.08	13.4139	198.85	3175.19	492	492	606.726	600.11	599.975	900.497	553.624	612.868	952.08	15	71	120	12	69	73	118	122	9	15	218	7	1.61086	0.904809	1	1	-1
43880.3	68041.2	3377.39	11.5838	200.261	3185.31	492	492	611.585	597.858	599.185	902.058	380.322	541.188	977.395	15	148	228	12	146	150	226	230	9	15	217	7	1.62509	0.912801	1	1	-1
26288.1	25492.1	4215.51	8.25653	202.258	2755.47	430.149	430.149	364.976	601.026	600.202	899.773	788.094	592.15	915.507	45	88	86	15	86	90	84	88	12	18	215	5	1.21493	0.682418	1	1	-1
67965.2	67781.8	3702.57	14.2655	201.159	3188.92	399.132	399.132	365.961	598.846	600.143	901.937	465.18	581.805	1002.57	12	228	227	13	226	230	225	229	10	16	217	7	1.71322	0.9623	1	1	-1
68498.6	45000.5	3991.11	13.5358	200.193	3179.48	354.98	354.98	598.509	600.625	600.228	901.452	698.618	600.494	991.114	17	229	151	14	227	231	149	153	11	17	217	7	1.43148	0.80405	1	1	-1
72307.2	59694.8	4199.56	16.1208	199.814	3746.36	376.645	376.645	565.698	600.219	599.756	900.379	607.222	594.834	899.558	12	242	200	15	240	244	198	202	12	18	219	8	1.7802	0.999927	1	1	-1
59385.6	68994.8	4053.94	15.3761	199.629	3386.92	415.816	415.816	532.677	600.413	599.587	901.778	585.633	594.816	1053.94	17	199	231	14	197	201	229	233	11	17	218	7	1.78033	1	1	1	-1
6798.45	3986.41	4040.04	17.3752	201.793	3401.24	297.283	297.283	320.433	599.697	600.034	899.435	498.447	686.408	740.035	12	24	14	15	22	26	12	16	12	18	219	7	1.57186	0.882901	1	1	-1
11408.1	33861	4312.53	13.2063	199.843	2949.03	441.82	441.82	551.094	600.379	600.564	902.047	608.143	561.02	1012.53	20	39	114	15	37	41	112	116	12	18	225	7	1.54637	0.868585	1	1	-1
38072.6	62680.1	4469.22	15.4852	201.747	3454.05	281.164	281.164	367.606	600.422	600.43	899.713	572.559	580.052	869.221	17	128	210	16	126	130	208	212	13	19	220	7	1.39521	0.783677	1	1	-1
34795	40166	5069.54	16.4152	201.377	3122.17	341.177	341.177	365.451	599.714	599.747	899.916	594.992	566.027	869.536	8	117	135	18	115	119	133	137	15	21	221	8	1.64637	0.924755	1	1	-1
7761.99	70880.6	5235.74	12.261	198.666	3392.03	492	492	1006.28	599.479	601.135	900.807	561.994	680.597	1035.74	17	27	237	18	25	29	235	239	15	21	217	6	1.46448	0.822586	1	1	-1
72321.7	2723.84	5297.33	12.5202	200.076	3347.77	465.538	465.538	486.209	600.185	599.865	899.318	621.731	623.838	797.331	11	242	10	19	240	244	8	12	16	22	219	7	1.55548	0.873699	1	1	-1
70631.1	54383.8	5308.24	12.272	199.311	3607.47	492	492	636.675	601.263	601.423	898.913	731.095	683.841	808.235	12	236	182	19	234	238	180	184	16	22	222	6	1.50424	0.844918	1	1	-1
15968	68409.1	5313.79	12.1143	201.676	3666.1	367.143	367.143	527.6	599.992	600.025	898.682	668.027	609.085	813.789	10	54	229	19	52	56	227	231	16	22	221	7	1.48888	0.83629	1	1	-1
65540.1	11372.8	5522.72	11.7925	199.512	3249.73	491.999	491.999	660.232	601.549	599.739	897.878	740.072	572.787	722.72	14	219	39	20	217	221	37	41	17	23	215	6	1.58726	0.891554	1	1	-1
71517	40947.7	5658.76	12.2429	201.297	2883.54	349.181	349.181	537.834	598.619	597.996	899.368	417.045	447.723	858.759	11	240	138	20	238	242	136	140	17	23	214	6	1.47652	0.829348	1	1	-1
42113.1	60488	6113.4	13.2907	199.588	3420.59	492	492	589.477	597.78	598.772	901.295	413.092	487.974	1013.4	13	142	203	21	140	144	201	205	18	24	217	7	1.74809	0.98189	1	1	-1
62005.8	6811.75	7148.77	10.1848	199.46	3782.57	492	492	1031.93	598.907	598.377	899.714	505.8	511.749	848.766	15	208	24	25	206	210	22	26	22	28	220	6	1.33907	0.752144	1	1	-1
SPOTS_END
