FISH-QUANT	v3a
File-version	3D_v1
RESULTS OF SPOT DETECTION PERFORMED ON 24-Sep-2021 
COMMENT	
IMG_Raw	Poiss_300spots_bg_200_0_I_10000_0_img2.tif
IMG_Filtered	
IMG_DAPI	
IMG_TS_label	
FILE_settings	Poiss_300spots_bg_200_0_I_10000_0_img2__settings_MATURE.txt
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
160	300	1.33	547	583	1.4	widefield
CELL_START	EntireImage
X_POS	1	1	256	256	
Y_POS	1	256	256	1	
Z_POS	
CELL_END
SPOTS_START
Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	IN_nuc
824.89	2578.35	5478.23	503.625	200.922	18510.7	213.152	213.152	597.446	326.713	325.443	921.184	344.89	338.353	978.227	6	6	17	19	4	8	15	19	16	22	673	177.518	42.6737	0.660916	1	1	-1
1149.51	39207.6	4862.1	493.456	195.058	24760.9	219.998	219.998	613.348	328.504	321.946	918.276	349.515	327.592	962.1	6	8	246	17	6	10	244	248	14	20	648	173.595	42.1526	0.652846	1	1	-1
1366.72	18503.4	6266.21	499.016	200.21	19817.3	216.727	216.727	598.572	343.718	304.337	891.861	406.717	263.448	866.208	7	9	117	22	7	11	115	119	19	25	649	155.69	43.2662	0.670093	1	1	-1
1474.37	34301.6	6069.3	496.74	201.505	22376.9	214.733	214.733	584.864	329.192	336.31	918.428	354.371	381.629	969.297	6	10	215	21	8	12	213	217	18	24	663	160.799	42.0487	0.651236	1	1	-1
1604.82	20038.3	7362.34	488.794	196.155	18653.6	220.1	220.1	609.755	321.124	331.249	864.437	324.816	358.313	762.34	6	11	126	26	9	13	124	128	23	29	630	165.771	41.4063	0.641286	1	1	-1
1891	39611.6	2928.32	495.488	200.111	20891.8	217.076	217.076	592.604	312.007	300.885	880.504	291	251.568	828.321	7	13	249	11	11	15	247	251	8	14	642	162.123	42.038	0.651071	1	1	-1
2168.09	20864.6	2409.39	500.474	199.738	27511.8	214.697	214.697	598.662	300.531	337.847	901.908	248.086	384.632	909.394	6	15	131	9	13	17	129	133	6	12	630	155.092	43.3025	0.670654	1	1	-1
2404.6	16292.6	5903.32	499.092	198.657	19334.2	214.595	214.595	605.639	321.488	311.929	874.07	324.598	292.593	803.32	6	16	103	21	14	18	101	105	18	24	671	175.658	42.4319	0.657171	1	1	-1
2322.66	24163	2990.14	499.608	197.402	20324.8	218.827	218.827	592.692	298.688	320.872	897.504	242.664	323.027	890.141	6	16	152	11	14	18	150	154	8	14	626	158.995	42.3588	0.656039	1	1	-1
2446.43	38021.4	1839.92	478.991	195.369	32787.4	224.624	224.624	627.235	333.45	303.859	912.762	366.425	261.384	939.922	7	16	239	7	14	18	237	241	4	10	627	157.219	41.7289	0.646284	1	1	-1
